Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
134.221.96.7-60.222.0.112-0-0-0,134.221.96.7,0,60.222.0.112,0,0,15/06/2025 02:52:22 PM,7,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,285714.28571428574,7.0,0.0,7.0,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142857.14285714287,142857.14285714287,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
134.221.96.15-96.114.5.140-0-0-0,134.221.96.15,0,96.114.5.140,0,0,15/06/2025 02:52:21 PM,19,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105263.15789473684,19.0,0.0,19.0,19.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52631.57894736842,52631.57894736842,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
134.221.96.4-77.214.0.20-0-0-0,134.221.96.4,0,77.214.0.20,0,0,15/06/2025 02:53:38 PM,496717,11,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.158625535264544,45156.09090909091,65123.631909552685,177799.0,2.0,496714.0,49671.399999999994,66806.68009712802,177799.0,2.0,0,0,0,0,0,0,0,0,0,0,0,22.145406740659165,2.013218794605379,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,11,0,1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
192.168.198.130-192.168.198.15-53817-53-17,192.168.198.130,53817,192.168.198.15,53,17,15/06/2025 02:49:37 PM,8027921,5,1,170.0,34.0,34.0,34.0,34.0,0.0,34.0,34.0,34.0,0.0,25.411311346985105,0.7473915102054443,1605584.2,2198525.8185202647,4024178.0,4.0,8027917.0,2006979.25,2317448.55214456,4024178.0,12.0,0,0,0,0,0,0,0,0,0,40,8,0.6228262585045369,0.12456525170090739,34.0,34.0,34.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,39.666666666666664,34.0,34.0,0,0,0,0,0,0,5,170,1,34,-1,-1,5,0,0,0,0,0,0,0,0,0,No Label
192.168.198.130-192.168.198.15-61029-53-17,192.168.198.130,61029,192.168.198.15,53,17,15/06/2025 02:50:25 PM,23863888,1,2,34.0,121.0,34.0,34.0,34.0,0.0,87.0,34.0,60.5,37.476659402887016,6.4951696052210774,0.12571296010105312,1.1931944E7,1.687431278763559E7,2.3863885E7,3.0,0,0,0,0,0,2.3863888E7,2.3863888E7,0.0,2.3863888E7,2.3863888E7,0,0,0,0,8,16,0.04190432003368437,0.08380864006736874,34.0,87.0,47.25,26.5,702.25,0,0,0,0,0,0,0,0,2.0,63.0,34.0,60.5,0,0,0,0,0,0,1,34,2,121,-1,-1,1,0,3.0,0.0,3.0,3.0,2.3863885E7,0.0,2.3863885E7,2.3863885E7,No Label
134.221.96.0-246.196.0.46-0-0-0,134.221.96.0,0,246.196.0.46,0,0,15/06/2025 02:52:05 PM,3,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,666666.6666666666,3.0,0.0,3.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,333333.3333333333,333333.3333333333,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
192.168.198.130-192.168.198.15-61212-53-17,192.168.198.130,61212,192.168.198.15,53,17,15/06/2025 02:52:10 PM,10540753,1,2,51.0,160.0,51.0,51.0,51.0,0.0,109.0,51.0,80.0,41.012193308819754,20.017545236094612,0.28460964790655846,5270376.5,7453429.439831071,1.0540747E7,6.0,0,0,0,0,0,1.0540753E7,1.0540753E7,0.0,1.0540753E7,1.0540753E7,0,0,0,0,8,16,0.09486988263551949,0.18973976527103897,51.0,109.0,65.5,29.0,841.0,0,0,0,0,0,0,0,0,2.0,87.33333333333333,51.0,80.0,0,0,0,0,0,0,1,51,2,160,-1,-1,1,0,6.0,0.0,6.0,6.0,1.0540747E7,0.0,1.0540747E7,1.0540747E7,No Label
134.221.96.12-25.204.5.140-0-0-0,134.221.96.12,0,25.204.5.140,0,0,15/06/2025 02:52:21 PM,340131,7,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.520349512393754,48590.14285714286,128537.5911649047,340086.0,0.0,340116.0,56686.0,138837.07871746653,340086.0,0.0,0,0,0,0,0,0,0,0,0,0,0,20.580305823344535,2.940043689049219,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,7,0,1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
134.221.96.0-89.169.3.126-0-0-0,134.221.96.0,0,89.169.3.126,0,0,15/06/2025 02:53:39 PM,5,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,399999.99999999994,5.0,0.0,5.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199999.99999999997,199999.99999999997,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
134.221.96.7-237.67.0.46-0-0-0,134.221.96.7,0,237.67.0.46,0,0,15/06/2025 02:52:02 PM,1004346,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9826912239407535,334782.0,579823.9264957941,1004305.0,11.0,1004335.0,502167.5,710129.6626761201,1004305.0,30.0,0,0,0,0,0,0,0,0,0,0,0,2.987018417955565,0.9956728059851884,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,3,0,1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
134.221.96.11-226.20.0.112-0-0-0,134.221.96.11,0,226.20.0.112,0,0,15/06/2025 02:52:21 PM,20,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99999.99999999999,20.0,0.0,20.0,20.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49999.99999999999,49999.99999999999,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
192.168.198.130-35.190.10.96-52655-443-17,192.168.198.130,52655,35.190.10.96,443,17,15/06/2025 02:52:44 PM,17599090,35,20,14376.0,11032.0,1250.0,29.0,410.74285714285713,520.1419117926965,1250.0,24.0,551.6,583.161835441749,1443.7110100579064,3.1251615850592276,325909.0740740741,1125703.5795372154,7240937.0,0.0,1.6373895E7,481585.1470588235,1397666.768582774,7240937.0,4.0,1.759909E7,926267.8947368421,2653296.9821842806,1.1509655E7,0.0,0,0,0,0,280,160,1.9887391904922356,1.1364223945669918,24.0,1250.0,476.03571428571433,548.096307538796,300409.56233766244,0,0,0,0,0,0,0,0,0.0,484.6909090909091,410.74285714285713,551.6,0,0,0,0,0,0,35,14376,20,11032,-1,-1,35,0,9132954.0,0.0,9132954.0,9132954.0,7240937.0,0.0,7240937.0,7240937.0,No Label
134.221.96.12-63.203.2.120-0-0-0,134.221.96.12,0,63.203.2.120,0,0,15/06/2025 02:54:29 PM,6,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,333333.3333333333,6.0,0.0,6.0,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166666.66666666666,166666.66666666666,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
192.168.198.130-192.168.198.15-53610-53-17,192.168.198.130,53610,192.168.198.15,53,17,15/06/2025 02:51:00 PM,9,1,1,33.0,33.0,33.0,33.0,33.0,0.0,33.0,33.0,33.0,0.0,7333333.333333333,222222.22222222222,9.0,0.0,9.0,9.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,111111.11111111111,111111.11111111111,33.0,33.0,33.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,49.5,33.0,33.0,0,0,0,0,0,0,1,33,1,33,-1,-1,1,0,0,0,0,0,0,0,0,0,No Label
192.168.198.130-192.168.198.15-64855-53-17,192.168.198.130,64855,192.168.198.15,53,17,15/06/2025 02:51:40 PM,7,1,1,35.0,35.0,35.0,35.0,35.0,0.0,35.0,35.0,35.0,0.0,1.0E7,285714.28571428574,7.0,0.0,7.0,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,142857.14285714287,142857.14285714287,35.0,35.0,35.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,52.5,35.0,35.0,0,0,0,0,0,0,1,35,1,35,-1,-1,1,0,0,0,0,0,0,0,0,0,No Label
134.221.96.5-58.80.0.39-0-0-0,134.221.96.5,0,58.80.0.39,0,0,15/06/2025 02:52:42 PM,9,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,222222.22222222222,9.0,0.0,9.0,9.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111111.11111111111,111111.11111111111,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
134.221.96.9-147.16.1.229-0-0-0,134.221.96.9,0,147.16.1.229,0,0,15/06/2025 02:54:33 PM,15,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133333.33333333334,15.0,0.0,15.0,15.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66666.66666666667,66666.66666666667,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
134.221.96.7-65.160.5.132-0-0-0,134.221.96.7,0,65.160.5.132,0,0,15/06/2025 02:52:21 PM,12,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,166666.66666666666,12.0,0.0,12.0,12.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83333.33333333333,83333.33333333333,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
192.168.198.130-192.168.198.15-50880-53-17,192.168.198.130,50880,192.168.198.15,53,17,15/06/2025 02:49:51 PM,8,1,1,30.0,30.0,30.0,30.0,30.0,0.0,30.0,30.0,30.0,0.0,7500000.0,250000.0,8.0,0.0,8.0,8.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,125000.0,125000.0,30.0,30.0,30.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,45.0,30.0,30.0,0,0,0,0,0,0,1,30,1,30,-1,-1,1,0,0,0,0,0,0,0,0,0,No Label
134.221.96.10-113.226.0.112-0-0-0,134.221.96.10,0,113.226.0.112,0,0,15/06/2025 02:52:21 PM,4,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500000.0,4.0,0.0,4.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250000.0,250000.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
134.221.96.12-107.222.0.94-0-0-0,134.221.96.12,0,107.222.0.94,0,0,15/06/2025 02:52:21 PM,8,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250000.0,8.0,0.0,8.0,8.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125000.0,125000.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
134.221.96.6-160.115.0.20-0-0-0,134.221.96.6,0,160.115.0.20,0,0,15/06/2025 02:53:02 PM,89906662,13,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15571704797582187,6915897.076923077,2.479818539005101E7,8.9448952E7,3.0,8.9906658E7,7492221.5,2.580976666537657E7,8.9448952E7,3.0,0,0,0,0,0,0,0,0,0,0,0,0.1445944016918346,0.011122646283987276,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,13,0,1,0,-1,-1,0,0,457002.0,0.0,457002.0,457002.0,8.9448952E7,0.0,8.9448952E7,8.9448952E7,No Label
