Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
134.221.96.1-141.9.0.94-0-0-0,134.221.96.1,0,141.9.0.94,0,0,30/05/2025 07:07:00 PM,39983751,5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1500609585128719,7996750.2,1.7531695822443664E7,3.9354615E7,8.0,3.9983742E7,9995935.5,1.9574699626201447E7,3.9354615E7,8.0,0,0,0,0,0,0,0,0,0,0,0,0.12505079876072658,0.025010159752145315,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,5,0,1,0,-1,-1,0,0,9.0,0.0,9.0,9.0,3.9354615E7,0.0,3.9354615E7,3.9354615E7,No Label
134.221.96.2-110.194.0.195-0-0-0,134.221.96.2,0,110.194.0.195,0,0,30/05/2025 07:07:00 PM,9,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,222222.22222222222,9.0,0.0,9.0,9.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111111.11111111111,111111.11111111111,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
134.221.96.10-84.156.0.59-0-0-0,134.221.96.10,0,84.156.0.59,0,0,30/05/2025 07:07:20 PM,3,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,666666.6666666666,3.0,0.0,3.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,333333.3333333333,333333.3333333333,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
192.168.198.130-192.168.198.15-61466-53-17,192.168.198.130,61466,192.168.198.15,53,17,30/05/2025 07:07:14 PM,89752,1,2,33.0,312.0,33.0,33.0,33.0,0.0,279.0,33.0,156.0,173.9482681718907,3843.925483554684,33.42543898743204,44876.0,63455.76254368077,89746.0,6.0,0,0,0,0,0,89752.0,89752.0,0.0,89752.0,89752.0,0,0,0,0,8,16,11.141812995810678,22.283625991621356,33.0,279.0,94.5,123.0,15129.0,0,0,0,0,0,0,0,0,2.0,126.0,33.0,156.0,0,0,0,0,0,0,1,33,2,312,-1,-1,1,0,0,0,0,0,0,0,0,0,No Label
134.221.96.10-75.60.5.140-0-0-0,134.221.96.10,0,75.60.5.140,0,0,30/05/2025 07:07:17 PM,2743702,9,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6447106865104155,304855.7777777778,432174.59761066985,1235355.0,6.0,2743696.0,342962.0,445557.27580701833,1235355.0,8.0,0,0,0,0,0,0,0,0,0,0,0,3.2802396178593742,0.36447106865104156,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,9,0,1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
134.221.96.12-84.64.4.214-0-0-0,134.221.96.12,0,84.64.4.214,0,0,30/05/2025 07:07:07 PM,110554,5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.27212041174449,22110.8,49256.93651355106,110224.0,4.0,110537.0,27634.25,55060.007206531795,110224.0,4.0,0,0,0,0,0,0,0,0,0,0,0,45.226767009787075,9.045353401957415,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,5,0,1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
134.221.96.7-13.1.1.208-0-0-0,134.221.96.7,0,13.1.1.208,0,0,30/05/2025 07:07:07 PM,186811,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.412015352415008,62270.33333333333,107846.72088818155,186801.0,4.0,186807.0,93403.5,132084.01119174116,186801.0,6.0,0,0,0,0,0,0,0,0,0,0,0,16.059011514311255,5.353003838103752,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,3,0,1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
192.168.198.130-192.168.198.15-55396-53-17,192.168.198.130,55396,192.168.198.15,53,17,30/05/2025 07:07:13 PM,65124,1,2,32.0,101.0,32.0,32.0,32.0,0.0,69.0,32.0,50.5,26.16295090390226,2042.257846569621,46.065966463976416,32562.0,46043.965163743225,65120.0,4.0,0,0,0,0,0,65124.0,65124.0,0.0,65124.0,65124.0,0,0,0,0,8,16,15.355322154658804,30.71064430931761,32.0,69.0,41.25,18.5,342.25,0,0,0,0,0,0,0,0,2.0,55.0,32.0,50.5,0,0,0,0,0,0,1,32,2,101,-1,-1,1,0,0,0,0,0,0,0,0,0,No Label
134.221.96.2-102.23.0.43-0-0-0,134.221.96.2,0,102.23.0.43,0,0,30/05/2025 07:07:36 PM,2654958,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.506615170560137,884986.0,1532832.0557334388,2654948.0,4.0,2654952.0,1327476.0,1877328.9060705372,2654948.0,4.0,0,0,0,0,0,0,0,0,0,0,0,1.1299613779201025,0.37665379264003424,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,3,0,1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
134.221.96.13-200.166.2.40-0-0-0,134.221.96.13,0,200.166.2.40,0,0,30/05/2025 07:07:20 PM,11,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,181818.18181818182,11.0,0.0,11.0,11.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90909.09090909091,90909.09090909091,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
